"125","CE-125","Data structure","Lipschutz","McGrawHill"
"126","CE-126","Data structure","Lipschutz","McGrawHill"
"127","CE-127","UNIX Concepts and Applications","DAS","McGrawHill"
"128","CE-128","Operating Systems","Dhamdhere","McGrawHill"
"129","CE-129","Modern Digital Electronics","Jain","McGrawHill"
"130","CE-130","Software Engineering","Jawadekar","McGrawHill"
"131","CE-131","Data Structures Through C","G.S.Baluja","Dhanpat Rai & Co."
"132","CE-132","Numerical methods for scientific & engg","Jain & Iyengar","New Age international publication"
"133","CE-133","Principal of data structure using C","Vinu V Das","New Age international publication"
"134","CE-134","Object oriented programming and C++","R Rajaram","New Age international publication"
"135","CE-135","Introduction to computer and basicprogamming","Xavier","New Age international publication"
"136","CE-136","Prolog programming for artificial Intelligence","Ivan Bratko","PeArson"
"137","CE-137","Operating Systems","Pankaj Gupta","McGrawHill"
"138","CE-138","Advanced Microprocessor and peripheral","Ray Bhurchandani","McGrawHill"
"139","CE-139","The Inel Microprocessor","Barry B Brey","Person Edition"
"140","CE-140","Introduction to Turbo Prolog","Carl townsend","BPB publications"
"141","CE-141","Computer Architecture","Behrooz Parhami","Oxford university press"
"142","CE-142","Programming in C","Pradip Day & Manas Ghosh","Oxford university press"
"143","CE-143","Compiler Design","Dr O G Kakde","Laxmi publication"
"144","CE-144","Operating systems","D M Dhamdhere","McGrawHill"
"145","CE-145","Journet to C","Punit B Ganshani","Mahajan publishing House"
"146","CE-146","IBM Rational Product Training",,
"147","CE-147","Data communication and networking","Forouzan","McGrawHill"
"148","CE-148","Cryptography and network security","Atyk kahate","TMH"
"149","CE-149","Design And Analysis of Algorithm","Parag H Dave","PeArson"
"150","CE-150","Cryptography and network security","Behrouz a ferouzan","TMH"
"151","CE-151","Data Structures using C","A.K.Sharma","PeArson"
"152","CE-152","Concept of compiler design","Adesh k pandey","Katson books"
"153","CE-153","Thinking in C++","Sunil K Pandey","GTBPI,New Delhi"
"154","CE-154","DB2 universal Database V8.1 700 Guide","Roger E Sanders","Pearson Edition"
"155","CE-155","Computer Networks","Andrew Tanenbaum","PHI"
"156","CE-156","Computer System Architecture and Organisation","Prof. S P S saini ","Katson books"
"157","CE-157","Security in computing","Charles and shari","pearson"
"158","CE-158","Object oriented modeling and design with UML","Michaes and James","Pearson"
"159","CE-159","Introduction to data mining","Pand,Michael and vipin","Pearson"
"160","CE-160","The 8051 microcontroller and embedded systems","Muhammad,jainice and Rolin","Pearson"
"161","CE-161","Understanding .Net","David Chappell","Pearson"
"162","CE-162","Question bank in computer science ","Nitin upadhaya","Katson books"
"163","CE-163","Computer networks","M ramaswamy, Sanjay Sharma","Katson books"
"164","CE-164","Multimedia","Sujata and manoj pandey","Katson books"
"165","CE-165","Programming  in C","S K Jha","Katson books"
"166","CE-166","The Desing Analysis and Algorithms","Nitin Upadhyay","Katson Books"
"167","CE-167","An introduction to autamata theory & formal languages","Adesh K Pandey","Katson Books"
"168","CE-168","Programming with ansi C++","Bushan trivedi","Oxford higher education"
"169","CE-169","Unix/Linux FAQ","N B Venkateswary","BS publications"
"170","CE-170","Fundamental of Data structure in C","Sahni","Universities press "
"171","CE-171 ","Computer Algorithms /C++","Sahni & horowitz","Universities press
"
"172","CE-172","Digital circuit and Design","S Salivahanan","Vikas Publication"
"173","CE-173","Prob & Stat. with Reliability,queuing & computer Science Application","Kishor trivedi","PHI"
"174","CE-174","ASP .NET 3.5","William B Sanders","TataMcGrawHill"
"175","CE-175","Professional ASP.NET 3.5","Bill Evjeh","Wrox"
"176","CE-176","Compiler Construction","K.V.N.Sunitha","PeArson"
"177","CE-177","Digital control System","Kuo","Oxford university press"
"178","CE-178","3ds max 7 bible","Kelly L Murdock","willey"
"179","CE-179","Practical C++","Rob Mcgreger","PHI"
"180","CE-180","Data Structures","Seymour Lipschutz","Tata McGrawHill"
"181","CE-181","Programming Microsoft ASP.NET 3.5","Dino Esposito","Microsoft Press"
"182","CE-182","Theory and Practice of Compiler ","Jeen-Paul Tremblay","B.S. Publication"
"183","CE-183","Programming and Problem Solving with JAVA","James M slack","B.S. Publication"
"184","CE-184","Software Engineering","Sangita Sabhrawal","New Age international Pub"
"185","CE-185","database System Concepts","A. Silberschatz, H.F.Korth","McGraw Hill"
"186","CE-186","Graphics Programming Power pack","Michaes Jhones","Sams Publication"
"187","CE-187","Design and Analysis of Algorithm","Parag H Dave","pearson"
"188","CE-188","Windows NT V4.0 Core Technology.",,"WAVE TECHNOLOGY"
"189","CE-189","Object oriented programming through JAVA","P RadhaKrishna","Universities press "
"190","CE-190","Compiler Construction","K.V.N.Sunitha","PeArson"
"191","CE-191","Computer maintainence peripherals ","H B Bhadka","Akshat"
"192","CE-192","Mobile Commuting","Raj  Kamal","Oxford"
"193","CE-193","Programming with ansi C++","Bhushan Trivedi","Oxford"
"194","CE-194","Computer Fundamentals","B Ram","New Age international Pub"
"195","CE-195","Data Structures using C","A.K.Sharma","PeArson"
"196","CE-196","Embedded System","Raj  Kamal","Tata McGrawHill"
"197","CE-197","The Complete Reference JAVA","herbet Schildt","Tata McGrawHill"
"198","CE-198","Artificial Inteligence","Pankaj Sharma","Katson Books"
"199","CE-199","Data Mining and Data Warehousing and OLAP","Gajendra Sharma","Katson Books"
"200","CE-200","Introduction to Web Technology","Pankaj Sharma","Katson Books"
"201","CE-201","Software Testing","Rajiv Chopra","Katson Books"
"202","CE-202","Thinking in C++","Sunil K Pandey","katson Books"
"203","CE-203","Multimedia","Sujata and manoj pandey","katson Books"
"204","CE-204","Programming in C++","Ashok kamthane","PeArson"
"205","CE-205","Design and Analysis of Algorithm","Nitin Upadhyay","Katson Books"
"206","CE-206","Computer Networks ","Sanjay Sharma","Katson Books"
"207","CE-207","Automata Theory and Formal Languages","Adesh K Pandey","Katson Books"
"208","CE-208","Compiler Design","Adesh K Pandey","Katson Books"
"209","CE-209","Operating System ","Vijay Sharma","Katson Books"
"210","CE-210","Linux kernel","Daniel Bovel and Marco Casati","O'Reilly"
"211","CE-211","Web Services","B V kumar","Tata McGrawHill"
"212","CE-212","Web Services","B V kumar","Tata McGrawHill"
"213","CE-213","Web Services","B V kumar","Tata McGrawHill"
"214","CE-214","Web Services","B V kumar","Tata McGrawHill"
"215","CE-215","Web Services","B V kumar","Tata McGrawHill"
"216","CE-216","Theory of Computation","Dr.O.G.Kakde","Universities press "
"217","CE-217","Digital Image Processing","Abhisek and poonam Yadav","Universities press "
"218","CE-218","Internet and JAVA Programming","Harishkumar Taluja","FireWall Media"
"219","CE-219","Artificial Intelligence","Sharbani Bhattacharya","University science press "
"220","CE-220","Design Analysis and Algorithm","Harimohan Pandey","University science press "
"221","CE-221","Software Engineering","Bharat Agrawal","FireWall Media"
"222","CE-222","Structure  System Analysis and Designe ","J.B.Dixit","University science press "
"223","CE-223","Discrete Mathematics","Satinder bal Gupta","University science press "
"224","CE-224","Discrete Mathematics","Satinder bal Gupta","University science press "
"225","CE-225","Neural Network","T.N.Shankar","University science press "
"226","CE-226","Compiler Design","Dr.O.G.Kakde","University science press "
"227","CE-227","Data Structure Using C","Dr.Prabhakar Gupta","FireWall Media"
"228","CE-228","Modeling And Simulation Concepts","Rajendrakumar ","University science press "
"229","CE-229","Introduction to Database Mgmt System","Satinder bal Gupta","University science press "
"230","CE-230","Understanding the Linux Kernel","Diniel P-Bovel","O'Reilly"
"231","CE-231","Understanding the Linux Kernel","Diniel P-Bovel","O'Reilly"
"232","CE-232","Understanding the Linux Kernel","Diniel P-Bovel","O'Reilly"
"233","CE-233","Understanding the Linux Kernel","Diniel P-Bovel","O'Reilly"
"234","CE-234","Theory of Computation ","Vivek Kulkarni","Oxford university press"
"235","CE-235-1","Data and File Structures","AA Punitambekar","Technical Publication"
"211","CE-235-2","Data and File Structures","AA Punitambekar","Technical Publication"
"236","CE-236","Java Server faces","B.M.Harwani","PHI"
"237","CE-237","Programming With JAVA","E Balaguruswamy","McGraw Hill"
"238","CE-238","Computer Networks","S.S.Shinde","New Age international Pub"
"239","CE-239","Design and Implementation of Compiler","Ravindra singh ","New Age international Pub"
"240","CE-240","Software Engineering ","Pratap K J Mohpatra","New Age international Pub"
"241","CE-241","Programming with C++ ","B.L.Juneja","New Age international Pub"
"242","CE-242","Numerical Method for Engineers ","Santosh K Gupta","New Age international Pub"
"243","CE-243","Design and Implimentation of operating System","Vivek Sharma","Universities press "
"244","CE-244","Explore Programing Language using C ","Dr. Prashant M. Dolia","Nirav Prakashan"
"245","CE-245","Programming With JAVA","C. Muthu","Thomson"
"246","CE-246","Operating System","I.A.Dhotre","Technical Publication"
"247","CE-247","UNIX Concepts and Applications","Sumitabhadas","Tata McGrawHill"
"248","CE-248","The Complete Reference ASP.NET","Mathew MacDonald","Tata McGrawHill"
"249","CE-249","C++ for Beginners....masters","Ankit Asthany","New Age international Pub"
"250","CE-250","Object oriented programming in Turbo C++","Robert lafore","Galgotia"
"251","CE-251","Discrete Mathematical Structures","Kolman Busby Ross","Pearson"
"252","CE-252","Computer programming and utilization","A.P.Godse","Technical Publication"
"253","CE-253","Introduction to algorithm","Thomas H Coremen","PHI"
"254","CE-254","Introdutction to Information Technology","Sanjay Saxena","Vikas Publication"
"255","CE-255","A first course in computers based on Win Xp and Office XP","Sanjay Saxena","Vikas Publication"
"256","CE-256","Introduction to Agorithms","Thomas H Coremen","PHI"
"257","CE-257","Data Management ","Jayanti Rajan","MacMillan advanced research serice"
"258","CE-258","Distributed Computing","Sunita Mahajan","Oxford university press"
"259","CE-259","Data Warhousing","Reema Thareja","Oxford University Press"
"260","CE-260","Introduction to Parrellel computing","W.P.Peterson","Oxford university press"
"261","CE-261","Data mining   ","Vikram Pudi","Oxford university press"
"262","CE-262","Mobile Computing","Raj Kamal","Oxford university press"
"263","CE-263","Programming in Java","Sachin Malhotra","Oxford university press"
"264","CE-264","Introduction to Neural Network","Sudarshan K Valluru","Jaico Publication"
"265","CE-265","Advance Data Structure and Algorithms in C++","V.V.Muniswamy","Jaico Publication"
"266","CE-266","Basics of OS Unix and Shell Programming","ISRD Group","The MacGrawHill Company"
"267","CE-267","Unix concepts and Application 4rth Edition","Sumitabhadas","MacGrawHill Company"
"268","CE-268","RH 033 Linux Essentials","Red Hat",
"269","CE-269","RH 133 System Administration","Red Hat",
"270","CE-270","RH 253 Network Services and Security Administration","Red Hat",
"271","CE-271","Unix Network Programming","W.Rechard Stewen","PHI"
"272","CE-272","Data communication and networking","Behrouz a ferouzan","THI-Edition"
"273","CE-273","Higher Engineering Maths 35th edition","Dr.B.S.Grewal","Khanna Book Publication"
"274","CE-274","Innovation and Advanced in Data Management","Poonam Garg","MacMillan  "
"275","CE-275","Innovation and Advances in Communication and information","Poonam Garg","MacMillan"
"276","CE-276","Innovation and Advances in Computer Science and Engineering","Poonam Garg","MacMillan"
"277","CE-277","Simplyfying Computer Graphics","Ms.Anju yadav","KV Publication Ahmedabad"
"278","CE-278","Understanding Operating systems","Ida M Flynn","Brooks/ COLE Thomsan Learing"
"279","CE-279","Programming in ANSI C 4th Edition","E-Balaguruswamy","TMGH company"
"280","CE-280","Object Oiented Programming with C++ 4th Edition","E-Balaguruswamy","TMGH company"
"281","CE-281","Introduction to Database Mgmt System","satinder bal Gupta","University science press "
"282","CE-282","Mastering Data structure system through 'c' Language","J B Dixit","University science press "
"283","CE283","Computer Architecture","Nirmala sharma","University science press "
"284","CE-284","Compiler Design","Dr O G Kakde","University science press "
"285","CE-285","Digital Design & Computer  organization","Dr. Nasib S. Gill","University science press "
"286","CE-286","Object oriented Analysis & Design through UML","Gandhaba swain","University science press "
"287","CE-287","Computer programming and utilization","J B Dixit","University science press "
"288","CE-288","Computer programming and utilization","J B Dixit","University science press "
"289","CE-289","Computer Graphics & Multimedia","G.S.Baluja","Dhanpatrai & Co."
"290","CE-290","Computer Graphics & Multimedia","G.S.Baluja","Dhanpatrai & Co."
"291","CE-291","Theory of Automata & Formal Languages","Udit Agarwal","Dhanpatrai & Co."
"292","CE-292","Theory of Automata & Formal Languages","Udit Agarwal","Dhanpatrai & Co."
"293","CE-293","Computer organization","Swati Saxena","Dhanpatrai & Co."
"294","CE-294","Data Structure throgh C","G.S.Baluja","Dhanpatrai & Co."
"295","CE-295","Data Structure throgh C","G.S.Baluja","Dhanpatrai & Co."
"296","CE-296","Data Mining Techs & Trands","N.P. Gopalan","PHI"
"297","CE-297","Theory of Computer Science","K.L.P Mistra","pHI"
"298","CE-298","Embeded System Design","Santanu Chattopadhyay","pHI"
"299","CE-299","Fundamentals of Digital Image Processing","Anil K Jain","pHI"
"300","CE-300","Microsoft ASP.NET","Shyam N Chavda","Nirav Prakashan"
"301","CE-301","SQL & PL/SQL","Anjali Jivani & Amisha Shingala","Nirav Prakashan"
"302","CE-302","Engineering Physics","Dr.V.B.Gohel","Nirav Prakashan"
"303","CE-303","IBM PC & Clones","B.GovindaRajalu","Tata McGrawHill"
"304","CE-304","Electronic & Electrical Measurments & Instruments","J.B.Gupta","S.K.Kataria + Sons"
"305","CE-305","Microsoft Visual Basic.NET","Shyam  Chavda","Nirav Prakashan"
"306","CE-306","International Journal of Information Tech+Knowledge Mgmt","Dr. Chavda Kant","Serials Publication India"
"307","CE-307","International Journal of Information Tech+Knowledge Mgmt","Dr. Chavda Kant","Serials Publication India"
"308","CE-308","Advanced Microprocessor and Interfacing","Badri Ram","Tata McGrawHill"
"309","CE-309","Neural Network in Computer intelligence","Limin Fu","Tata McGrawHill"
"310","CE-310","Formal Language and Automata Theory","K V N SUNITA & N KALYANI","Tata McGrawHill"
"311","CE-311","Modern Digital Electronics","R P Jain","Tata McGrawHill"
"312","CE-312","Neural Network","Satish Kumar","Tata McGrawHill"
"313","CE-313","Object oriented Programming with C++","E Balaguruswamy","Tata McGrawHill"
"314","CE-314","Object oriented Programming with Java","Rajkumar Boyya","Tata McGrawHill"
"315","CE-315","Digital Image Processing using MATLAB","Rafael C Gonzalez","Tata McGrawHill"
"316","CE-316","Digital Image Processing","S Jayraman","Tata McGrawHill"
"317","CE-317","Formal Language and Automata Theory","K V N SUNITA & N KALYANI","Tata McGrawHill"
"318","CE-318","Mastering C++","K R Venugopal & Rajkumar","Tata McGrawHill"
"319","CE-319","ARtificial Inteligence","Elaine Ritch & Shrishankar B Nair","Tata McGrawHill"
"320","CE-320","Inroduction to Languages and the Theory of Computation","John C Martin","Tata McGrawHill"
"321","CE-321","Theory of Automata, Languages & Computation","Rajendra Kumar","Tata McGrawHill"
"322","CE-322","The Complete Reference Visual Basic  6","Noel Jerke","Tata McGrawHill"
"323","CE-323","Principles of Electronic Communication Systems",,"TMH"
"324","CE-324","Artificial Inteligence","Elaine Ritch & Shrishankar B Nair","TMH"
"325","CE-325","Embedded System","Raj  Kamal","TMH"
"326","CE-326","Data Structures and algorithms","G A Vijayalakshmi pai","TMH"
"327","CE-327","The Complete Reference J2ME","James keogh","TMH"
"328","CE-328","Computer Architecture and logic Design","Thomas.C.Bartee","TMH"
"329","CE-329","Operating Systems","Achyut S Godbole& Atul Kahate","TMH"
"330","CE-330","Operating Systems","Achyut S Godbole& Atul Kahate","TMH"
"331","CE-331","The Complete Reference Visual C++ 6","Charris H pappas & William H.Murray,III","TMH"
"332","CE-332","Embedded Systems","Raj  Kamal","TMH"
"333","CE-333","The Complete Reference JAVA","Herbet Schildt","TMH"
"334","CE-334","Basic Electrical Engineering","V N Mittle & Arvind Mittle","TMH"
"335","CE-335","Advance Concepts in Operating systems","Mukesh singhal & Niranjan.G.Shivaratri","TMH"
"336","CE-336","Computer Systems Organization ","Naresh Jotwani","TMH"
"337","CE-337","Data Structured and algorithms","G A Vijayalakshmi pai","TMH"
"338","CE-338","Modern Digital Electronics","R P Jain","TMH"
"339","CE-339","Modern Digital Electronics","R P Jain","TMH"
"340","CE-340","Computer System Organization","Naresh Jotwani","TMH"
"341","CE-341","Data Communiations","William L.Schweber","TMH"
"342","CE-342","Electronic Principles","Albert Malvino & David J Bates","TMH"
"343","CE-343","Operating System ","Achyut S Godbole& Atul Kahate","TMH"
"344","CE-344","Advanced Concepts in Operating Systems","Mukesh Singhal & Niranjan.G.Shivaratri","TMH"
"345","CE-345","Advanced Concepts in Operating Systems","Mukesh Singhal & Niranjan.G.Shivaratri","TMH"
"346","CE-346","Compiler Design ","K Muneswaran","Oxford"
"347","CE-347","Introduction to Embeded Systems","Shibu K V ","TMH"
"348","CE-348","Operating System","Ramez Elmasri,A.Gill Carrick,David Levine","TMH"
"349","CE-349","OPerating System","Ramez Elmasri,A.Gill Carrick,David Levine","TMH"
"350","CE-350","OPerating System","Ramez Elmasri,A.Gill Carrick,David Levine","TMH"
"351","CE-351","ASP.NET 4.0 Programming","Joydip Kanjilal","TMH"
"352","CE-352","Principles of Compiler Design","V Raghavan","TMH"
"353","CE-353","Advanced Microprocessors and Interfacing","Badri Ram","TMH"
"354","CE-354","The Complete Reference J2EE","Jim Keogh","TMH"
"355","CE-355","Data Communiations and Networks","Achyut S Godbole","TMH"
"356","CE-356","Data Communiations","William L.Schweber","TMH"
"357","CE-357","Computer Architecture and Organization","Nicholas P Carter","TMH"
"358","CE-358","Object Oiented Programming with Java","Rajumar Buyya & S Thamarai Selvi & Xingchen chu","TMH"
"359","CE-359","Programming  in ANSI C","E  Balaguruswamy","TMH"
"360","CE-360","Computer organization","ISRD Group","TMH"
"361","CE-361","Data Structure with C++","John R.Hubbard","TMH"
"362","CE-362","Digital Computer Electronics","Albert Paul Malvino & Jerald A.Brown","TMH"
"363","CE-363","Advanced Microprocessor and Peripherals","A K Ray & K M  Bhruchandi","TMH"
"364","CE-364","Advanced Microprocessor and Peripherals","A K Ray & K M  Bhruchandi","TMH"
"365","CE-365","Microprocessor & Interfacing","Douglas V Hall","TMH"
"366","CE-366","Microprocessor & Interfacing","Douglas V Hall","TMH"
"367","CE-367","The Complete Reference LINUX SIXTH EDITION","Rechard peterson","TMH"
"368","CE-368","Data Communication & Networkig","Behrouz a ferouzan","TMH"
"369","CE-369","Data Communication & Networkig","Behrouz a ferouzan","TMH"
"370","CE-370","Data Communication & Networkig","Behrouz a ferouzan","TMH"
"371","CE-371","Data Communication & Networkig","Behrouz a ferouzan","TMH"
"372","CE-372","Software Engineering","Stephen scharch","TMH"
"373","CE-373","SQL & PL/SQL 2nd Edition","IVAN BAYROSS","BPB Publication"
"374","CE-374","Programming  in ANSI C","BALAGURUSWAMY","TMH"
"375","CE-375","The Intel Microprocessors","Berry B Brey","Pearson Edition"
"376","CE-376","Electronic Devices and Circuits","Robert L Boyled","PHI"
"377","CE-377","DB2 Express-C","Raul F Chang","IBM"
"378","CE-378","The Complete PC Upgrade & Maintenance Guid","Mark Mansi","Wiley dremtech"
"379","CE-379","Communication Networks","Intra Widjaja","TMH"
